Key,region_name,Station,lon,lat,day,month,year,STN_TIME,Twilight,Net_Type,Mesh_Size(um),Net_Mouth_Dia(m),DEPTH_STRT,DEPTH_END,Bottom Depth(m),Volume Filtered(m3),CTD,NOTES,PI,NumberOfSpecies,SumOfDiversity,ANNE:POLY: >> POLY larvae s1,ANNE:POLY: >> POLY s1,ANNE:POLY: >> POLY s2,ANNE:POLY: >> POLY s3,ARCR:: >> CIRRI s1,ARCR:: >> CRUST larvae s1,ARCR:AMPH: >> AMPHI s1,ARCR:AMPH: >> AMPHI s2,ARCR:AMPH: >> AMPHI s3,ARCR:AMPH:GAMM >> GAMM s1,ARCR:AMPH:GAMM >> GAMM s2,ARCR:AMPH:GAMM >> GAMM s3,ARCR:AMPH:HYPE >> HYPER s1,ARCR:AMPH:HYPE >> HYPER s2,ARCR:AMPH:HYPE >> HYPER s3,ARCR:CLAD: >> CLADO s1,ARCR:COPE: >> COPE other <2mm,ARCR:COPE: >> COPE other >2mm,ARCR:COPE: >> COPEN s1,ARCR:COPE:CALA >> CALA <1mm,ARCR:COPE:CALA >> CALA <3mm>1mm,ARCR:COPE:CALA >> CALA <5mm>3mm,ARCR:COPE:CALA >> CALA >5mm,ARCR:CUMA: >> CUMAC s1,ARCR:CUMA: >> CUMAC s2,ARCR:CUMA: >> CUMAC s3,ARCR:DECA: >> DECA s1,ARCR:DECA: >> DECA s2,ARCR:DECA: >> DECA s3,ARCR:DECA:CARI >> CARID s1,ARCR:DECA:CARI >> CARID s2,ARCR:DECA:CARI >> CARID s3,ARCR:DECA:MYSI >> MYSID s2,ARCR:DECA:MYSI >> MYSID s3,ARCR:EUPH: >> EUPH eggs,ARCR:EUPH: >> EUPH s1,ARCR:EUPH: >> EUPH s2,ARCR:EUPH: >> EUPH s3,ARCR:ISOP: >> ISOPOD s1,ARCR:ISOP: >> ISOPOD s2,ARCR:ISOP: >> ISOPOD s3,ARCR:OSTR: >> OSTRA <3mm,ARCR:OSTR: >> OSTRA >3mm,CHAE:: >> CHAET s1,CHAE:: >> CHAET s2,CHAE:: >> CHAET s3,CHAE:: >> EUKHA s2,CHAE:: >> EUKHA s3,CHAE:: >> PATEL s2,CHAE:: >> PATEL s3,CNID:ANTH: >> ANTH s1,CNID:ANTH: >> ANTH s2,CNID:HYDR: >> MEDUS s1,CNID:HYDR: >> MEDUS s2,CNID:HYDR: >> MEDUS s3,CNID:HYDR:SIPH >> CALYC s1,CNID:HYDR:SIPH >> CALYC s2,CNID:HYDR:SIPH >> CALYC s3,CNID:HYDR:SIPH >> PHYS float >5mm,CNID:HYDR:SIPH >> PHYS s1,CNID:HYDR:SIPH >> PHYS s2,CNID:SCYF: >> SCYPH s1,CNID:SCYF: >> SCYPH s2,CNID:SCYF: >> SCYPH s3,CTEN:: >> CTENO s1,CTEN:: >> CTENO s2,CTEN:: >> CTENO s3,ECHI:: >> ECHIN s1,ECTO:: >> BRYOC s1,MOCE:OCTO: >> CEPH s1,MOCE:OCTO: >> CEPH s2,MOCE:OCTO: >> CEPH s3,MOGA:HETE: >> HETERO s1,MOGA:PTER: >> CLIO s1,MOGA:PTER: >> CLIO s2,MOGA:PTER: >> CLIO s3,MOGA:PTER: >> GYMNO s1,MOGA:PTER: >> GYMNO s2,MOGA:PTER: >> GYMNO s3,MOGA:PTER: >> LIM-- s0,MOGA:PTER: >> LIM-- s1,MOGA:PTER: >> LIM-- s2,MOGA:PTER: >> LIM-- s3,MOLL:: >> MOLL s1,PROT:: >> PROTO s1,PROT:: >> PROTO s2,UROC:LARV: >> LARVAC s1,UROC:LARV: >> LARVAC s2,UROC:LARV: >> LARVAC s3,UROC:THAL: >> DOLIO s1,UROC:THAL: >> DOLIO s2,UROC:THAL: >> DOLIO s3,UROC:THAL: >> SALP s1,UROC:THAL: >> SALP s2,UROC:THAL: >> SALP s3,VERT:PISC: >> PISCES egg s1,VERT:PISC: >> PISCES s1,VERT:PISC: >> PISCES s2,VERT:PISC: >> PISCES s3,XXXX >> Remainder
UBC200800002701,BC Inlets,DFO2,-127.557,51.522,8,6,2008,13:00,Daylight,Bongo VNH,250,0.5,300,0,333,71.08,, ,4,40,2.372,0,0,0.67305,1.53067,0.07203,0,0,0,0,0,2.60844,2.56612,0,5.32223,0.58301,0,0.27012,0,0.00324,0.56365,36.74494,9.69994,0,0,0,0,0,0,0,0,0,0.06415,0,0,0,0,0.48847,0.29826,0.03241,0,0,1.80079,0,0,0,0,0,0.94541,0,1.89083,0,0,0,0.04854,0,0,0.39842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64153,0.30613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09665,0
UBC200800002801,BC Inlets,DFO2,-127.557,51.522,8,6,2008,13:00,Daylight,Bongo VNH,150,0.5,100,0,333,20.93,, ,4,41,2.317,0.00841,0.06498,0.14286,0,0.85619,0,0,0,0,0,0.47301,0.27234,0,0.31266,0,0,0.15932,0,0.0055,1.09875,2.68446,0.20831,0,0,0,0,0,0,0,0,0.01548,0,0,0,0,0,0.99522,0,0,0,0,0.38223,0,0,0,0,0,0,0,0.55184,0,0,0,0,1.10368,0.00306,0.11276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9097,0,0,0,0.00183,0,0,0.0688,0,0,0,0,0,0,0,0,0.00143,0,0,0,0
UBC200800002901,BC Inlets,DFO2,-127.557,51.522,23,6,2008,12:00,Daylight,Bongo VNH,250,0.5,300,0,333,98.19,, ,4,34,2.495,0,0,0.55566,1.10806,0.26072,0,0,0,0,0,2.70105,0.92881,0,0.13753,1.33292,0,0.18381,0,0.00704,0.22083,24.16346,6.66136,0.62573,0,0,0,0,0,0,0,0,0,0,0.05805,0,0,0.10592,1.38507,0,0,0,4.82331,0,0,0,0,0,0,0,3.76413,0,0,0,0,0,0,0.58385,0,0.3259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03565,0.3096,0.44322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC200800003001,BC Inlets,DFO2,-127.557,51.522,23,6,2008,12:05,Daylight,Bongo VNH,150,0.5,50,0,333,16.29,, ,4,25,2.144,0.15715,0,0,0,1.9644,0,0,0,0,0,0,0,0,0,0,0,0.36499,0,0.00589,0.9718,1.62848,0.03315,0.04174,0,0,0,0,0,0,0,0,0,0,0,0.03732,0,0,0,0,0,0,1.17864,0,0,0,0,0,0,0.0054,0.06446,0,0,0,0.07673,0,0,0.1485,0.03622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16697,0,0,0,0,0,0,0.01964,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC200800003101,BC Inlets,DFO2,-127.557,51.522,9,7,2008,13:35,Daylight,Bongo VNH,250,0.5,300,0,333,86.21,, ,4,41,2.374,0,0,0.44078,0.31551,1.05417,0,0,0,0,0,1.38156,1.05788,0,1.1362,0.43011,0.00371,0.10919,0,0,0.22718,5.54628,2.50439,0.14476,0,0,0,0,0,0,0.01707,0,0,0,0,0,0,0.20137,0,0,0,0,2.22712,0,0,0,0,0,0.25983,0,2.43591,0,0,0,0,0,0,0,0,0.0464,0,0,0,0,0,0,0,0.0406,0,0,0,0,0,0,0,0,0,0.37119,0.0812,0.52894,0.1262,1.41051,0,0,0,0,0,0,0.04009,0,0,0,0,0,0,0,0,0,0,0,0
UBC200800003201,BC Inlets,DFO2,-127.557,51.522,9,7,2008,13:35,Daylight,Bongo VNH,150,0.5,300,0,333,69.55,, ,4,45,2.488,0,0,0.42559,1.25234,1.98763,0,0,0,0,0,0.38832,0.65564,0,0.99427,0.86154,0.05521,0.45825,0,0.03754,0.82763,12.8773,2.50985,0.4417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21855,0,0,0,4.601,0,0,0,0,0,0.16104,0.02024,3.38174,0,0,0,0,0,0,0.34611,0,0,0,0,0,0,0,0,0,0.05032,0,0,0,0,0,0,0,0,0,0,0.80518,1.74838,1.09504,1.39871,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC200800003301,BC Inlets,DFO2,-127.557,51.522,23,7,2008,18:00,Daylight,Bongo VNH,250,0.5,300,0,333,63.21,, ,4,40,2.42,0,0,0.33539,0.94763,0,0,0,0,0,0,1.48585,1.8149,0,1.54963,0.2479,0,0.2035,0,0,0.36317,18.79295,4.86631,0.96441,0,0,0,0,0.2691,0,0,0,0,0,0,0,0,0,1.07578,0,0,0,2.835,0,0,0,0,0,0,0,0.79734,0,0,0,0,0,0,0,0,0.64547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50625,0.44297,0.96187,0.17212,1.15425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01107,0,0,0
UBC200800003401,BC Inlets,DFO2,-127.557,51.522,23,7,2008,18:00,Daylight,Bongo VNH,150,0.5,300,0,333,59.22,, ,4,42,2.361,0,0,0.42148,1.20229,0.08646,0,0,0,0,0,0,0.77001,0,2.53806,0.44309,0,0.42601,0,0.01621,0.93569,18.52024,5.42574,0.18372,0,0,0,0.00123,0,0,0,0,0,0,0,0.00973,0,0,1.32218,0.82134,0,0,6.70044,0,0,0,0,0,0.18913,0,0.99291,0,0,0,0.93212,2.84769,0,0,0,0,0,0.06066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36744,3.28538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC200800003501,BC Inlets,DFO2,-127.557,51.522,23,7,2008,18:00,Daylight,Bongo VNH,250,0.5,100,0,333,25.57,, ,4,27,2.073,0,0,0,0,0.32538,0,0,0,0,0,0,0,0.1483,0,0,0.00313,0.17144,0,0,0.62906,1.45099,0.03676,0.02659,0,0,0,0,0,0,0,0,0,0,0,0.01126,0,0,0,0,0,0,0.06257,0,0,0,0,0,0,0,0.24638,0,0,0,0.25812,0,0,0.18459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02386,0,0,0,0,0,0,0,0,0,0,0
UBC200800003601,BC Inlets,DFO2,-127.557,51.522,23,7,2008,18:00,Daylight,Bongo VNH,150,0.5,100,0,333,20.88,, ,4,31,2.101,0,0,0,0,0.49042,0.0092,0,0,0,0,0,0,0,0,0,0,0.4046,0,0.04644,0.99481,0.81992,0.05077,0.06513,0,0,0,0,0,0,0,0,0,0,0,0.02069,0,0,0,0,0,0,0.45977,0,0,0,0,0,0,0,0.15086,0,0,0,0.15087,0,1.83908,0.14128,0.02826,0.09579,0.11188,0,0,0,0,0,0,0,0,0.00598,0,0,0,0,0,0,0,0,0,0,0.3908,0,0,0,0,0,0,0,0.01034,0,0,0,0,0,0,0,0,0,0,0,0
