Year,Site_Name,Province,Nearest_City,ED_NAME,Municipality,Group_type,Latitude,Longitude,Cleanup_date,Type_of_Cleanup,Adults,Children,Kilograms,Recycling_Bags,Trash_Bags,Kilometers,Items,Cigarettes_Cigarette_Filters,Food_Wrappers_Containers,Takeout_Containers__Plastic_,Takeout_Containers__Foam_,Bottle_Caps__Plastic_,Bottle_Caps__Metal_,Lids__Plastic_,Straws__Stirrers,Forks__Knives__Spoons,Beverage_Bottles__Plastic__2_liters_or_less,Glass_Beverage_Bottles,Beverage_Cans,Bags__Plastic_,Other_plastic_bags,Bags__Paper_,Cups_and_Plates__Paper_,Cups_and_Plates__Plastic_,Cups_and_Plates__Foam_,Buoys_Floats,Fishing_Line,Fishing_Nets,Rope,Fishing_Lures_Light_Sticks,F6_Pack_Holders,Other_Plastic_Foam_Packaging,Other_Plastic_Bottles__oil__bleach_etc_,Strapping_Bands,Tobacco_Packaging_Wrappers,Appliances__refrigerators__washers__etc__,Balloons,Cigar_Tips,Cigarette_Lighters,Building_Materials,Fireworks,Tires,Batteries,Clothing__Shoes,Toys,Condoms,Diapers,Syringes,Tampons_Tampon_Applicators,Foam_Pieces,Glass_Pieces,Plastic_Pieces,F55_Gallon_Drums,Car_Car_Parts,Light_Bulbs,Pallets,Plastic_Sheeting,Crates,Pull_Tabs,Bait_Containers,Crab_Lobster_Fish_Traps,Shotgun_Shells,Item_of_Concern__1,Count_of_Item_1,Item_of_Concern__2,Count_of_Item_2,Item_of_Concern__3,Count_of_Item_3,Animal,Dead_or_Alive,Entangled_,Item_of_Entaglement,Animal1,Dead_or_Alive1,Entangled_1,Item_of_Entaglement1,Animal2,Dead_or_Alive2,Entangled_2,Item_of_Entaglement2,Animal3,Dead_or_Alive3,Entangled_3,Item_of_Entaglement3,Animal4,Dead_or_Alive4,Entangled_4,Item_of_Entaglement4,F97,F100
2006,Long Lake at the Junior Forest Warden Camp,Alberta,Athabasca,,,,,,23-Sep-06,,17,,1,,0.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Muskeg Creek,Alberta,Athabasca,,,,,,23-Sep-06,,2,,20,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Beaver Brook,Alberta,Barrhead,,,,,,18-Sep-06,,14,,9,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Bashaw Pond - on Hwy 21,Alberta,Bashaw,,,,,,18-Sep-06,,60,,46,,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Blackfalds Marsh-Leung Road,Alberta,Blackfalds,,,,,,19-Sep-06,,40,,136,,8,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Bear Trap Lake,Alberta,Bonnyville,,,,,,16-Sep-06,,10,,14,,6,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Jessie Lake,Alberta,Bonnyville,,,,,,16-Sep-06,,2,,36,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Moose Lake,Alberta,Bonnyville,,,,,,18-Sep-06,,35,,227,,10,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Elbow River - Bragg Creek Prov Park,Alberta,Bragg Creek,,,,,,16-Sep-06,,42,,40,,10,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Lac Sante,Alberta,Brosseau,,,,,,23-Sep-06,,4,,7.7,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Bow River - Baker Park,Alberta,Calgary,,,,,,24-Sep-06,,11,,9,,4,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
