FID,FID_1,Year_,Site_Name,Province,Nearest_Ci,ED_NAME,Municipali,Group_type,Latitude,Longitude,Cleanup_da,Type_of_Cl,Adults,Children,Kilograms,Recycling_,Trash_Bags,Kilometers,Items,Cigarettes,Food_Wrapp,Takeout_Co,Takeout__1,Bottle_Cap,Bottle_C_1,Lids__Plas,Straws__St,Forks__Kni,Beverage_B,Glass_Beve,Beverage_C,Bags__Plas,Other_plas,Bags__Pape,Cups_and_P,Cups_and_1,Cups_and_2,Buoys_Floa,Fishing_Li,Fishing_Ne,Rope,Fishing_Lu,F6_Pack_Ho,Other_Pl_1,Other_Pl_2,Strapping_,Tobacco_Pa,Appliances,Balloons,Cigar_Tips,Cigarette_,Building_M,Fireworks,Tires,Batteries,Clothing__,Toys,Condoms,Diapers,Syringes,Tampons_Ta,Foam_Piece,Glass_Piec,Plastic_Pi,Item_of_Co,Count_of_I,Item_of__1,Count_of_1,Item_of__2,Count_of_2,Animal,Dead_or_Al,Entangled_,Item_of_En,Animal1,Dead_or__1,Entangled1,Item_of__3,Animal2,Dead_or__2,Entangle_1,Item_of__4,Animal3,Dead_or__3,Entangle_2,Item_of__5,Animal4,Dead_or__4,Entangle_3,Item_of__6,Region
0,863,2015,East Side of Capilano River - Squamish Nation,British Columbia,West Vancouver,North Vancouver-Lonsdale,Squamish Native Band - Northshore Vancouver,Other Group,49.32101012,-123.1391859,2015-06-06,Land,2,1,20,1,4,1.5,"Buoy, balloons, surgical masks",15,17,0,2,3,0,0,2,5,17,4,5,3,5,0,2,2,2,1,1,2,2,0,0,3,1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,40,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,4
1,1165,2016,East Side of Capilano River - Squamish Nation,British Columbia,West Vancouver,North Vancouver-Lonsdale,Squamish Native Band - Northshore Vancouver,"Scout, Cubs, Beavers",49.32101012,-123.1391859,2016-05-20,Land,70,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4
2,288,2013,French Creek Bay,British Columbia,Parksville,Parksville-Qualicum,Regional District of Nanaimo,School/Educational Facility,49.34847903,-124.3582392,2013-05-09, ,0, ,100,0,6,1,Geocache (we put it back),310, , , , , , ,5, ,11,2,28,19, ,16, , , ,0,5,0,25,0,0, , ,2,6,0,1,0,0,1, ,4,0,12,5,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2
3,290,2013,Four Poles Beach in Qualicum Beach,British Columbia,Qualicum Beach,Parksville-Qualicum,Town of Qualicum,School/Educational Facility,49.355338,-124.443688,2013-09-25,Land,8,60,5,1,5,1, ,122,22, ,12, , ,3, , ,9, , ,32, , , ,9,12, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2
4,293,2013,Surfside Drive,British Columbia,Parksville,Parksville-Qualicum,Town of Qualicum,Outdoors/Recreational Group,49.36826196,-124.4863415,2013-09-22,Land,4,0,5,1,1,5.6,corn on the cob; package of gummy bears,9,3,3,1,3, ,2,1,2,4,1,5, ,3, ,2, , , , , ,2, , ,1, ,1,3, , , , ,8, , , ,2,1, , , , ,9,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,2
5,300,2013,Qualicum Bay,British Columbia,Qualicum Beach,Mid Island-Pacific Rim,Regional District of Nanaimo,Other Group,49.398421,-124.607678,2013-09-22,Land,10,9,2,1,2,1.5,"a shovel head, 1 gumboot, 3 painted rocks",49,14, ,1,2,5,2,2, ,3,1,12,1,6, , ,7, , , ,4,2, , ,4, ,2,11, ,1, , ,5,1, , ,3, , , , , ,17,1,18,"fiberglass - 5"" peices",3,"metal - small peices (less than 3"")",12, , ,pink slamon,dead,no, , , , , , , , , , , , , , , , , ,2
6,311,2013,Deep Bay Harbour,British Columbia,Bowser,Mid Island-Pacific Rim,Lighthouse Country,College/University,49.46254586,-124.7315598,2013-09-28,Land,2,0,7,1,2,1, ,4,5,2,0,3,0,2,1,1,3,0,2,0,2,0,0,1,0,0,5,0,9,1,1,2,1,0,2,0,0,0,2,4,0,0,0,0,0,0,0,0,0,3,4,8, , , , , , , , , , , , , , , , , , , , , , , , , , ,2
7,314,2013,Jedediah Island,British Columbia,Sechelt,Parksville-Qualicum,Regional District of Powell River,Outdoors/Recreational Group,49.48811671,-124.1914272,2013-09-11,Land,13,0,45,0,8,0.5, ,0,0,0,0,13,1,0,1,0,28,5,2,0,8,0,0,6,0,4,0,0,55,2,0,0,46,0,3,0,6,1,0,4,1,2,0,4,2,0,0,0,0,611,1,10, , , , , , , , , , , , , , , , , , , , , , , , , , ,2
8,315,2013,Ships Point Regional Park,British Columbia,Fanny Bay,Mid Island-Pacific Rim,Comox Valley Regional District,School/Educational Facility,49.49204736,-124.7913408,2013-05-08, ,0, ,20,4,1,2,Door Lock,7, , , , , , , , , ,2, ,5, , , , , , , ,4,50, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2
9,317,2013,Baynes Sound,British Columbia,Union Bay,Mid Island-Pacific Rim,Comox Valley Regional District,School/Educational Facility,49.522717,-124.842177,2013-09-29,Land,6,0,113,2,5,2,Oyster Farm Trays & Buoys,10,11, , ,17, , ,7, ,7,6,16,14, , ,6, , ,22, ,3,10, , , , , , , , , ,1, , , , , , , , , , ,115, ,40, , , , , , , , , , , , , , , , , , , , , , , , , , ,2
