ED_NAME,Region
Burnaby North,Greater Vancouver
Burnaby-Lougheed,Greater Vancouver
Coquitlam-Burke Mountain,Greater Vancouver
Courtenay-Comox,Vancouver Island
Cowichan Valley,Vancouver Island
Delta South,Greater Vancouver
Esquimalt-Metchosin,Vancouver Island
Langford-Juan de Fuca,Vancouver Island
Mid Island-Pacific Rim,Vancouver Island
Nanaimo,Vancouver Island
Nanaimo-North Cowichan,Vancouver Island
North Coast,North Coast
North Island,Vancouver Island
North Vancouver-Lonsdale,Greater Vancouver
North Vancouver-Seymour,Greater Vancouver
Oak Bay-Gordon Head,Vancouver Island
Parksville-Qualicum,Vancouver Island
Port Moody-Coquitlam,Greater Vancouver
Powell River-Sunshine Coast,Greater Vancouver
Richmond North Centre,Greater Vancouver
Richmond-Steveston,Greater Vancouver
Saanich North and the Islands,Vancouver Island
Saanich South,Vancouver Island
Surrey South,Greater Vancouver
Surrey-White Rock,Greater Vancouver
Vancouver-False Creek,Greater Vancouver
Vancouver-Hastings,Greater Vancouver
Vancouver-Mount Pleasant,Greater Vancouver
Vancouver-Point Grey,Greater Vancouver
Vancouver-Quilchena,Greater Vancouver
Vancouver-West End,Greater Vancouver
Victoria-Beacon Hill,Vancouver Island
Victoria-Swan Lake,Vancouver Island
West Vancouver-Capilano,Greater Vancouver
West Vancouver-Sea to Sky,Greater Vancouver
