Litter,Source,Material
Cigarettes_Cigarette_Filters,Smoking,Plastic
Food_Wrappers_Containers,Shoreline Rec.,Plastic
Takeout_Containers__Plastic_,Shoreline Rec.,Plastic
Takeout_Containers__Foam_,Shoreline Rec.,Plastic
Bottle_Caps__Plastic_,Shoreline Rec.,Plastic
Bottle_Caps__Metal_,Shoreline Rec.,Metal
Lids__Plastic_,Shoreline Rec.,Plastic
Straws__Stirrers,Shoreline Rec.,Plastic
Forks__Knives__Spoons,Shoreline Rec.,Plastic
Beverage_Bottles__Plastic__2_liters_or_less,Shoreline Rec.,Plastic
Glass_Beverage_Bottles,Shoreline Rec.,Glass
Beverage_Cans,Shoreline Rec.,Metal
Bags__Plastic_,Shoreline Rec.,Plastic
Other_plastic_bags,Shoreline Rec.,Plastic
Bags__Paper_,Shoreline Rec.,Paper
Cups_and_Plates__Paper_,Shoreline Rec.,Paper
Cups_and_Plates__Plastic_,Shoreline Rec.,Plastic
Cups_and_Plates__Foam_,Shoreline Rec.,Plastic
Buoys_Floats,Fishing,Plastic
Fishing_Line,Fishing,Plastic
Fishing_Nets,Fishing,Plastic
Rope,Fishing,Plastic
Fishing_Lures_Light_Sticks,Fishing,Plastic
F6_Pack_Holders,Shoreline Rec.,Plastic
Other_Plastic_Foam_Packaging,Shoreline Rec.,Plastic
Other_Plastic_Bottles__oil__bleach_etc_,Dumping,Plastic
Strapping_Bands,Fishing,Plastic
Tobacco_Packaging_Wrappers,Smoking,Plastic
Appliances__refrigerators__washers__etc__,Dumping,Metal
Balloons,Shoreline Rec.,Plastic
Cigar_Tips,Smoking,Other
Cigarette_Lighters,Smoking,Plastic
Building_Materials,Dumping,Other
Fireworks,Shoreline Rec.,Paper
Tires,Dumping,Other
Batteries,Dumping,Metal
Clothing__Shoes,Shoreline Rec.,Cloth
Toys,Shoreline Rec.,Plastic
Condoms,Shoreline Rec.,Other
Diapers,Shoreline Rec.,Plastic
Syringes,Shoreline Rec.,Plastic
Tampons_Tampon_Applicators,Shoreline Rec.,Cloth
Foam_Pieces,Dumping,Plastic
Glass_Pieces,Dumping,Glass
Plastic_Pieces,Dumping,Plastic
F55_Gallon_Drums,Dumping,Metal
Car_Car_Parts,Dumping,Metal
Light_Bulbs,Dumping,Glass
Pallets,Dumping,Other
Plastic_Sheeting,Dumping,Plastic
Crates,Dumping,Plastic
Pull_Tabs,Dumping,Plastic
Bait_Containers,Fishing,Plastic
Crab_Lobster_Fish_Traps,Fishing,Other
Shotgun_Shells,Shoreline Rec.,Metal
