ID,Species,Site,Eelgrass,GFI,Group,Detail,Abundance,Biomass
BCHUM1,Chum,Qualicum,Eelgrass,75-100%,Insect,Formicidae,1,0.1
BCHUM1,Chum,Qualicum,Eelgrass,75-100%,Cumacean,Cumacea,1,0.5
BCHUM1,Chum,Qualicum,Eelgrass,75-100%,Barnacle,Balanus glandula,2,0.1
BCHUM1,Chum,Qualicum,Eelgrass,75-100%,Euphausiid,Euphausiidae,1,0.2
BCHUM1,Chum,Qualicum,Eelgrass,75-100%,Calanoid,Calanus marshallae,2,2.1
BCHUM1,Chum,Qualicum,Eelgrass,75-100%,Calanoid,Calanus pacificus,2,1.3
BCHUM1,Chum,Qualicum,Eelgrass,75-100%,Calanoid,Calanus,4,3.1
BCHUM1,Chum,Qualicum,Eelgrass,75-100%,Calanoid,Calanidae,2,1.6
BCHUM1,Chum,Qualicum,Eelgrass,75-100%,Calanoid,Calanoida,1,1.9
BCHUM1,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticus,4,0.5
BCHUM1,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticus,4,0.2
BCHUM1,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Parathalestris bulbiseta,1,0.1
BCHUM1,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Parathalestris bulbiseta,3,0.2
BCHUM1,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Dactylopusia,5,0.1
BCHUM1,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticoida,223,5.6
BCHUM1,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticoida,41,0.4
BCHUM1,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Pseudobradya,9,0.1
BCHUM1,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Zaus,5,0.1
BCHUM1,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Zaus,9,0.1
BCHUM1,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Ectinosoma melaniceps,39,0.2
BCHUM1,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Tisbe,17,0.7
BCHUM1,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Tisbe,152,3.8
BCHUM2,Chum,Qualicum,Eelgrass,75-100%,Barnacle,Balanus glandula,2,0.1
BCHUM2,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticus,8,0.6
BCHUM2,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Scutellidium patellarum,1,0.1
BCHUM2,Chum,Qualicum,Eelgrass,75-100%,Calanoid,Calanus marshallae,2,2.1
BCHUM2,Chum,Qualicum,Eelgrass,75-100%,Calanoid,Calanus,5,1.5
BCHUM2,Chum,Qualicum,Eelgrass,75-100%,Calanoid,Calanoida,1,1.7
BCHUM2,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Dactylopusia,1,0.1
BCHUM2,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Zaus,3,0.1
BCHUM2,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Tisbe,261,2.2
BCHUM2,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticoida,18,0.1
BCHUM2,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Pseudobradya,2,0.1
BCHUM2,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Pseudobradya,2,0.1
BCHUM2,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Ectinosoma melaniceps,22,0.1
BCHUM2,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Ectinosoma melaniceps,8,0.1
BCHUM2,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticoida,280,0.1
BCHUM3,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Parathalestris bulbiseta,5,0.4
BCHUM3,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Parathalestris bulbiseta,4,0.1
BCHUM3,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Dactylopusia,2,0.1
BCHUM3,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticus,2,0.2
BCHUM3,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticus,6,0.6
BCHUM3,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Scutellidium patellarum,2,0.1
BCHUM3,Chum,Qualicum,Eelgrass,75-100%,Cyclopoid/Poecilostomatoid,Oncaea borealis,1,0.1
BCHUM3,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Pseudobradya,9,0.3
BCHUM3,Chum,Qualicum,Eelgrass,75-100%,Cumacean,Cumacea,2,0.6
BCHUM3,Chum,Qualicum,Eelgrass,75-100%,Calanoid,Calanus pacificus,1,0.6
BCHUM3,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Tisbe,149,4.4
BCHUM3,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticoida,199,6.3
BCHUM3,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Harpacticoida,37,0.1
BCHUM3,Chum,Qualicum,Eelgrass,75-100%,Fish,Neopterygii,2,0.1
BCHUM3,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Zaus,7,0.1
BCHUM3,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Zaus,4,0.1
BCHUM3,Chum,Qualicum,Eelgrass,75-100%,Barnacle,Balanus glandula,2,0.1
BCHUM3,Chum,Qualicum,Eelgrass,75-100%,Barnacle,Balanomorpha,5,0.1
BCHUM3,Chum,Qualicum,Eelgrass,75-100%,Detritus,Phaeophyceae,1,0.1
BCHUM3,Chum,Qualicum,Eelgrass,75-100%,Harpacticoid,Ectinosoma melaniceps,27,0.5
BCHUM4,Chum,Qualicum,Noneelgrass,50-75%,Fish,Neopterygii,6,13.1
BCHUM4,Chum,Qualicum,Noneelgrass,50-75%,Harpacticoid,Harpacticus,5,0.5
BCHUM4,Chum,Qualicum,Noneelgrass,50-75%,Calanoid,Neocalanus plumchrus,1,1.6
