ID,FID,Sp,Site,Date,Latitude,Longitude,MaxLength,Group,Abundance,Biomass,PreyW,Region
2429,HNG52,Herring,CS11,2015-10-16,49.376,-126.244,1,Cyclopoid/Poecilostomatoid,3,0.114942529,0.1,Vancouver Island Inlets
2429,HNG52,Herring,CS11,2015-10-16,49.376,-126.244,1,Parasite,1,0.114942529,0.1,Vancouver Island Inlets
2429,HNG52,Herring,CS11,2015-10-16,49.376,-126.244,10,Euphausiid,1,16.43678161,14.3,Vancouver Island Inlets
2429,HNG52,Herring,CS11,2015-10-16,49.376,-126.244,12,Euphausiid,1,17.24137931,15,Vancouver Island Inlets
2429,HNG52,Herring,CS11,2015-10-16,49.376,-126.244,10,Euphausiid,2,66.09195402,57.5,Vancouver Island Inlets
2430,HNG53,Herring,CS11,2015-10-16,49.376,-126.244,0.8,Cyclopoid/Poecilostomatoid,15,54.54545455,1.2,Vancouver Island Inlets
2430,HNG53,Herring,CS11,2015-10-16,49.376,-126.244,9,Decapod,1,31.81818182,0.7,Vancouver Island Inlets
2430,HNG53,Herring,CS11,2015-10-16,49.376,-126.244,4,Decapod,1,9.090909091,0.2,Vancouver Island Inlets
2430,HNG53,Herring,CS11,2015-10-16,49.376,-126.244,2,Parasite,1,4.545454545,0.1,Vancouver Island Inlets
2431,HNG54,Herring,CS11,2015-10-16,49.376,-126.244,2,Hyperiid,2,93.33333333,2.8,Vancouver Island Inlets
2431,HNG54,Herring,CS11,2015-10-16,49.376,-126.244,0.8,Cyclopoid/Poecilostomatoid,6,3.333333333,0.1,Vancouver Island Inlets
2431,HNG54,Herring,CS11,2015-10-16,49.376,-126.244,0.8,Cyclopoid/Poecilostomatoid,9,3.333333333,0.1,Vancouver Island Inlets
2432,HNG55,Herring,CS11,2015-10-16,49.376,-126.244,0.8,Cyclopoid/Poecilostomatoid,2,10,0.1,Vancouver Island Inlets
2432,HNG55,Herring,CS11,2015-10-16,49.376,-126.244,0.7,Calanoid,1,10,0.1,Vancouver Island Inlets
2432,HNG55,Herring,CS11,2015-10-16,49.376,-126.244,0.5,Decapod,1,50,0.1,Vancouver Island Inlets
2432,HNG55,Herring,CS11,2015-10-16,49.376,-126.244,0.8,Cyclopoid/Poecilostomatoid,6,30,0.1,Vancouver Island Inlets
2433,HNG56,Herring,CS11,2015-10-16,49.376,-126.244,10,Euphausiid,1,85.11904762,14.3,Vancouver Island Inlets
2433,HNG56,Herring,CS11,2015-10-16,49.376,-126.244,4,Hyperiid,1,14.28571429,2.4,Vancouver Island Inlets
2433,HNG56,Herring,CS11,2015-10-16,49.376,-126.244,1,Cyclopoid/Poecilostomatoid,7,0.595238095,0.1,Vancouver Island Inlets
2434,HNG57,Herring,CS11,2015-10-16,49.376,-126.244,1,Calanoid,1,0.09310987,0.1,Vancouver Island Inlets
2434,HNG57,Herring,CS11,2015-10-16,49.376,-126.244,1,Cyclopoid/Poecilostomatoid,1,0.09310987,0.1,Vancouver Island Inlets
2434,HNG57,Herring,CS11,2015-10-16,49.376,-126.244,15,Euphausiid,2,22.62569832,24.3,Vancouver Island Inlets
2434,HNG57,Herring,CS11,2015-10-16,49.376,-126.244,11,Euphausiid,6,46.36871508,49.8,Vancouver Island Inlets
2434,HNG57,Herring,CS11,2015-10-16,49.376,-126.244,5,Euphausiid,3,30.81936685,33.1,Vancouver Island Inlets
2435,HNG58,Herring,CS11,2015-10-16,49.376,-126.244,1,Cyclopoid/Poecilostomatoid,1,0.05787037,0.1,Vancouver Island Inlets
2435,HNG58,Herring,CS11,2015-10-16,49.376,-126.244,24,Euphausiid,3,55.03472222,95.1,Vancouver Island Inlets
2435,HNG58,Herring,CS11,2015-10-16,49.376,-126.244,25,Euphausiid,3,37.73148148,65.2,Vancouver Island Inlets
2435,HNG58,Herring,CS11,2015-10-16,49.376,-126.244,5,Euphausiid,1,7.175925926,12.4,Vancouver Island Inlets
2436,HNG59,Herring,CS11,2015-10-16,49.376,-126.244,1,Euphausiid,2,100,0.1,Vancouver Island Inlets
2437,HNG60,Herring,CS11,2015-10-16,49.376,-126.244,1,Cyclopoid/Poecilostomatoid,1,20,0.1,Vancouver Island Inlets
2437,HNG60,Herring,CS11,2015-10-16,49.376,-126.244,0.8,Cyclopoid/Poecilostomatoid,1,20,0.1,Vancouver Island Inlets
2437,HNG60,Herring,CS11,2015-10-16,49.376,-126.244,1.5,Calanoid,1,20,0.1,Vancouver Island Inlets
2437,HNG60,Herring,CS11,2015-10-16,49.376,-126.244,1,Hyperiid,1,20,0.1,Vancouver Island Inlets
2437,HNG60,Herring,CS11,2015-10-16,49.376,-126.244,0.5,Cyclopoid/Poecilostomatoid,1,20,0.1,Vancouver Island Inlets
2438,HNG61,Herring,CS11,2015-10-16,49.376,-126.244,1,Cyclopoid/Poecilostomatoid,5,66.66666667,0.1,Vancouver Island Inlets
