ID,FID,Sp,Site,Date,Time,Latitude,Longitude,TL,FL,SL,Weight,Gender,GonadW,GIndex,StomachW,StomachLW,ContentW,GFI,EstGFI,SumContentW,Group,Phylum,Subphylum,Class,Subclass,Order,Suborder,Infraorder,Family,Genus,Species,Stage,Detail,Abundance,MaxLength,MinLength,DS,PreyW,Biomass,Comments
2429,HNG52,Herring,CS11,2015-10-16,8:45,49.376,-126.244,179,160,148,41429,F,171,0.004127544,827.2,640.8,186.4,44.99263801,25%,87,Cyclopoid/Poecilostomatoid,Arthropoda,Crustacea,Maxillopoda,Copepoda,Poecilostomatoida,,,Corycaeidae,Ditrichocorycaeus,anglicus,Adult,Ditrichocorycaeus anglicus,3,1,1,1,0.1,0.114942529,
2429,HNG52,Herring,CS11,2015-10-16,8:45,49.376,-126.244,179,160,148,41429,F,171,0.004127544,827.2,640.8,186.4,44.99263801,25%,87,Parasite,Platyhelminthes,Neodermata,Trematoda,,,,,,,,Parasite,Trematoda,1,1,1,0,0.1,0.114942529,
2429,HNG52,Herring,CS11,2015-10-16,8:45,49.376,-126.244,179,160,148,41429,F,171,0.004127544,827.2,640.8,186.4,44.99263801,25%,87,Euphausiid,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,,,Euphausiidae,Euphausia,pacifica,Adult,Euphausia pacifica,1,10,10,1,14.3,16.43678161,
2429,HNG52,Herring,CS11,2015-10-16,8:45,49.376,-126.244,179,160,148,41429,F,171,0.004127544,827.2,640.8,186.4,44.99263801,25%,87,Euphausiid,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,,,Euphausiidae,Euphausia,pacifica,Adult,Euphausia pacifica,1,12,12,2,15,17.24137931,Tail was broken off
2429,HNG52,Herring,CS11,2015-10-16,8:45,49.376,-126.244,179,160,148,41429,F,171,0.004127544,827.2,640.8,186.4,44.99263801,25%,87,Euphausiid,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,,,Euphausiidae,Thysanoessa,spinifera,Adult,Thysanoessa spinifera,2,10,1,3,57.5,66.09195402,Digested into 15 small pieces
2430,HNG53,Herring,CS11,2015-10-16,8:45,49.376,-126.244,216,195,174,94270,M,7231,0.076705208,679.9,642.9,37,3.924896574,0-25%,2.2,Cyclopoid/Poecilostomatoid,Arthropoda,Crustacea,Maxillopoda,Copepoda,Poecilostomatoida,,,Corycaeidae,Ditrichocorycaeus,anglicus,Adult,Ditrichocorycaeus anglicus,15,0.8,0.5,2,1.2,54.54545455,All males?
2430,HNG53,Herring,CS11,2015-10-16,8:45,49.376,-126.244,216,195,174,94270,M,7231,0.076705208,679.9,642.9,37,3.924896574,0-25%,2.2,Decapod,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Decapoda,Pleocyemata,Anomura,Porcellanidae,,,Zoea I,Porcellanidae,1,9,9,2,0.7,31.81818182,
2430,HNG53,Herring,CS11,2015-10-16,8:45,49.376,-126.244,216,195,174,94270,M,7231,0.076705208,679.9,642.9,37,3.924896574,0-25%,2.2,Decapod,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Decapoda,Pleocyemata,Anomura,Porcellanidae,,,Zoea II,Porcellanidae,1,4,4,3,0.2,9.090909091,
2430,HNG53,Herring,CS11,2015-10-16,8:45,49.376,-126.244,216,195,174,94270,M,7231,0.076705208,679.9,642.9,37,3.924896574,0-25%,2.2,Parasite,Platyhelminthes,Neodermata,Trematoda,,,,,,,,Parasite,Trematoda,1,2,2,0,0.1,4.545454545,
2431,HNG54,Herring,CS11,2015-10-16,8:45,49.376,-126.244,213,194,178,782223,M,1006,0.001286078,845.8,776.5,69.3,0.885936619,0-25%,3,Hyperiid,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Hyperiidea,Physocephalata,Hyperiidae,,,Adult,Hyperiidae,2,2,2,3,2.8,93.33333333,Both prey were digested into two 1mm pieces
2431,HNG54,Herring,CS11,2015-10-16,8:45,49.376,-126.244,213,194,178,782223,M,1006,0.001286078,845.8,776.5,69.3,0.885936619,0-25%,3,Cyclopoid/Poecilostomatoid,Arthropoda,Crustacea,Maxillopoda,Copepoda,Poecilostomatoida,,,Corycaeidae,Ditrichocorycaeus,anglicus,Adult,Ditrichocorycaeus anglicus,6,0.8,0.8,1,0.1,3.333333333,
2431,HNG54,Herring,CS11,2015-10-16,8:45,49.376,-126.244,213,194,178,782223,M,1006,0.001286078,845.8,776.5,69.3,0.885936619,0-25%,3,Cyclopoid/Poecilostomatoid,Arthropoda,Crustacea,Maxillopoda,Copepoda,Poecilostomatoida,,,Corycaeidae,Ditrichocorycaeus,anglicus,Adult,Ditrichocorycaeus anglicus,9,0.8,0.5,2,0.1,3.333333333,
2432,HNG55,Herring,CS11,2015-10-16,8:45,49.376,-126.244,194,175,156,60583,F,889,0.014674083,846.9,805.1,41.8,6.899625307,0-25%,,Cyclopoid/Poecilostomatoid,Arthropoda,Crustacea,Maxillopoda,Copepoda,Poecilostomatoida,,,Corycaeidae,Ditrichocorycaeus,anglicus,Adult,Ditrichocorycaeus anglicus,2,0.8,0.8,2,0.1,10,% volume is used for this stomach instead of weight since each prey item group is too small
2432,HNG55,Herring,CS11,2015-10-16,8:45,49.376,-126.244,194,175,156,60583,F,889,0.014674083,846.9,805.1,41.8,6.899625307,0-25%,,Calanoid,Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,,,Pseudocalananidae,Pseudocalanus,minutus,Adult,Pseudocalanus minutus,1,0.7,0.7,3,0.1,10,""""
2432,HNG55,Herring,CS11,2015-10-16,8:45,49.376,-126.244,194,175,156,60583,F,889,0.014674083,846.9,805.1,41.8,6.899625307,0-25%,,Decapod,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Decapoda,,,,,,Zoea,Decapoda,1,0.5,0.5,4,0.1,50,"A lot of tiny, very digested pieces"
2432,HNG55,Herring,CS11,2015-10-16,8:45,49.376,-126.244,194,175,156,60583,F,889,0.014674083,846.9,805.1,41.8,6.899625307,0-25%,,Cyclopoid/Poecilostomatoid,Arthropoda,Crustacea,Maxillopoda,Copepoda,Poecilostomatoida,,,Corycaeidae,Ditrichocorycaeus,anglicus,Adult,Ditrichocorycaeus anglicus,6,0.8,0.5,2,0.1,30,
2433,HNG56,Herring,CS11,2015-10-16,8:45,49.376,-126.244,172,160,149,45889,F,192,0.004184009,647.7,590.7,57,12.42127743,0-25%,16.8,Euphausiid,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,,,Euphausiidae,,,Adult,Euphausiidae,1,10,10,3,14.3,85.11904762,Digested into many pieces sized 1-5.5mm
