SiteName,Region,Latitude,Longitude
Buntzen Lake Islands & Shoreline,Greater Vancouver,49.34349535,-122.8613949
Pond at the end of Hummingbird Dr,Greater Vancouver,49.30165068,-122.8389689
Pond at the end of Hummingbird Dr,Greater Vancouver,49.30165068,-122.8389689
Tapaltos Beach,Vancouver Island,48.802298,-125.181412
Keeha Beach/Bay,Vancouver Island,48.786811,-125.172803
Belcarra Bay Park and Government Docks,Greater Vancouver,49.31267343,-122.9268837
White Pine Beach,Greater Vancouver,49.322819,-122.8857
Belcarra Bay Park and Government Docks,Greater Vancouver,49.31267343,-122.9268837
White Pine Beach and Sasamat Lake,Greater Vancouver,49.32321994,-122.8867149
White Pine Beach and Sasamat Lake,Greater Vancouver,49.32321994,-122.8867149
White Pine Beach and Sasamat Lake,Greater Vancouver,49.32321994,-122.8867149
Snug Cove Shoreline,Greater Vancouver,49.37898,-123.334166
Cape Roger Curtis Shoreline,Greater Vancouver,49.335712,-123.421709
Grafton Lake Shoreline,Greater Vancouver,49.371953,-123.365545
Mount Gardner Dock Beach at Galbraith Bay,Greater Vancouver,49.406406,-123.369925
Bowyer Island,Greater Vancouver,49.42627205,-123.2691765
Deep Bay Harbour,Vancouver Island,49.46254586,-124.7315598
Deep Bay Harbour,Vancouver Island,49.46254586,-124.7315598
Deep Bay Harbour,Vancouver Island,49.46254586,-124.7315598
Gowland Tod Provincial Park,Vancouver Island,48.555358,-123.465732
Gowland Tod Provincial Park,Vancouver Island,48.555358,-123.465732
Brentwood Bay Marina area,Vancouver Island,48.571,-123.4642
Brentwood Bay Marina area,Vancouver Island,48.571,-123.4642
Lanz and Cox Islands,Vancouver Island,50.81027377,-128.6581421
Still Creek,Greater Vancouver,49.26085924,-123.0097961
Burnaby Fraser Foreshore Park,Greater Vancouver,49.19264251,-123.0000544
Stoney Creek Park Trails,Greater Vancouver,49.25567763,-122.904439
Burnaby Lake,Greater Vancouver,49.24522872,-122.9494572
Stoney Creek North,Greater Vancouver,49.26119533,-122.8980446
Still Creek to Douglas Road,Greater Vancouver,49.24898274,-122.9582977
Confederation Park,Greater Vancouver,49.29078991,-123.0016422
Silver Creek,Greater Vancouver,49.26139138,-122.9235148
Barnet Beach Marine Park,Greater Vancouver,49.292073,-122.925859
Byrne Creek at Meadow Ave,Greater Vancouver,49.19418502,-122.9647994
Burnaby Lake,Greater Vancouver,49.24522872,-122.9494572
Still Creek,Greater Vancouver,49.26085924,-123.0097961
Confederation Park,Greater Vancouver,49.29078991,-123.0016422
Barnet Beach Marine Park,Greater Vancouver,49.292073,-122.925859
Silver Creek,Greater Vancouver,49.26139138,-122.9235148
Stoney Creek Park Trails,Greater Vancouver,49.25567763,-122.904439
Burnaby Fraser Foreshore Park,Greater Vancouver,49.19264251,-123.0000544
Deer Lake Park South West,Greater Vancouver,49.23441332,-122.9854202
Confederation Park,Greater Vancouver,49.29078991,-123.0016422
Byrne Creek at Meadow Ave,Greater Vancouver,49.19418502,-122.9647994
Barnet Beach Marine Park,Greater Vancouver,49.292073,-122.925859
Burnaby Lake,Greater Vancouver,49.24522872,-122.9494572
Burnaby Fraser Foreshore Park,Greater Vancouver,49.19264251,-123.0000544
Still Creek,Greater Vancouver,49.26085924,-123.0097961
Stoney Creek Park Trails,Greater Vancouver,49.25567763,-122.904439
Stoney Creek North,Greater Vancouver,49.26119533,-122.8980446
Deer Lake East,Greater Vancouver,49.23654296,-122.9660225
Still Creek,Greater Vancouver,49.26085924,-123.0097961
Confederation Park,Greater Vancouver,49.29078991,-123.0016422
Burnaby Fraser Foreshore Park,Greater Vancouver,49.19264251,-123.0000544
Byrne Creek at Meadow Ave,Greater Vancouver,49.19418502,-122.9647994
Deer Lake Park South West,Greater Vancouver,49.23441332,-122.9854202
Silver Creek,Greater Vancouver,49.26139138,-122.9235148
Stoney Creek North,Greater Vancouver,49.26119533,-122.8980446
Confederation Park,Greater Vancouver,49.29078991,-123.0016422
Confederation Park - Event 2,Greater Vancouver,49.29087388,-122.999754
Deer Lake East,Greater Vancouver,49.23654296,-122.9660225
Still Creek,Greater Vancouver,49.26085924,-123.0097961
Silver Creek,Greater Vancouver,49.26139138,-122.9235148
Stoney Creek Park Trails,Greater Vancouver,49.25567763,-122.904439
