Eelsite,Group,Abundance,Proportion
Bedwell Noneelgrass,Larvacean,4.666666667,2.405498282
Bedwell Noneelgrass,Decapod,0,0
Bedwell Noneelgrass,Calanoid,18.66666667,9.62199313
Bedwell Noneelgrass,Cladoceran,2,1.030927835
Bedwell Noneelgrass,Cumacean,21.66666667,11.16838488
Bedwell Noneelgrass,Gammarid,6,3.092783506
Bedwell Noneelgrass,Harpacticoid,126.3333333,65.12027491
Bedwell Noneelgrass,Mysid,0,0
Bedwell Noneelgrass,Decapod,3.333333333,1.718213058
Bedwell Noneelgrass,Ostracod,2.333333333,1.202749141
Bedwell Noneelgrass,Polychaete,8.333333333,4.295532646
Bedwell Noneelgrass,Bivalve,0.666666667,0.343642612
Fraser Eelgrass,Larvacean,10.06944444,0.352664367
Fraser Eelgrass,Barnacle,134.1666667,4.698948672
Fraser Eelgrass,Decapod,1.590277778,0.055696648
Fraser Eelgrass,Calanoid,1161.715278,40.68700965
Fraser Eelgrass,Cladoceran,344.2569444,12.05698667
Fraser Eelgrass,Jellyfish,0.375,0.013133707
Fraser Eelgrass,Jellyfish,0.0625,0.002188951
Fraser Eelgrass,Cumacean,1.701388889,0.059588117
Fraser Eelgrass,Cyclopoid/Poecilostomatoid,0,0
Fraser Eelgrass,Echinoderm,0.6875,0.024078464
Fraser Eelgrass,Fish,0,0
Fraser Eelgrass,Gammarid,10.37361111,0.363317263
Fraser Eelgrass,Pteropod,0,0
Fraser Eelgrass,Harpacticoid,1163.986111,40.76654153
Fraser Eelgrass,Mysid,8.125,0.284563662
Fraser Eelgrass,Decapod,0.0625,0.002188951
Fraser Eelgrass,Ostracod,0,0
Fraser Eelgrass,Polychaete,17.01388889,0.595881172
Fraser Eelgrass,Bivalve,1.0625,0.037212171
Fraser Noneelgrass,Larvacean,40.375,2.348806205
Fraser Noneelgrass,Barnacle,32.95833333,1.917343352
Fraser Noneelgrass,Decapod,0.3125,0.018179615
Fraser Noneelgrass,Calanoid,1076.541667,62.6275603
Fraser Noneelgrass,Cladoceran,391.875,22.79723669
Fraser Noneelgrass,Jellyfish,0.833333333,0.048478972
Fraser Noneelgrass,Jellyfish,0,0
Fraser Noneelgrass,Cumacean,0.125,0.007271846
Fraser Noneelgrass,Cyclopoid/Poecilostomatoid,0.354166667,0.020603563
