ID,Site,Eelgrass,nitro,carb
BCOHO2,Koeye,Non-eelgrass,8.58,-25.85
BCOHO3,Koeye,Non-eelgrass,10.52,-21.49
BCOHO4,Koeye,Non-eelgrass,7.78,-26.16
BCOHO5,Koeye,Non-eelgrass,9.95,-22.7
BCOHO6,Koeye,Non-eelgrass,7.57,-25.05
BCOHO7,Koeye,Non-eelgrass,11.23,-15.27
BCOHO8,Koeye,Non-eelgrass,11.58,-16.14
BCOHO9,Koeye,Non-eelgrass,11.23,-16.1
BCOHO10,Koeye,Non-eelgrass,11.9,-16.26
BCOHO11,Koeye,Non-eelgrass,12.44,-17.76
BCOHO12,Koeye,Eelgrass,9.63,-19.75
BCOHO13,Koeye,Eelgrass,11.52,-22.43
BCOHO14,Koeye,Eelgrass,11.74,-21.51
BCOHO15,Koeye,Eelgrass,9.91,-20.88
BCOHO16,Koeye,Eelgrass,6.02,-28.2
BCOHO17,Koeye,Eelgrass,11.1,-15.67
BCOHO18,Koeye,Eelgrass,11.47,-15.72
BCOHO19,Koeye,Eelgrass,12.01,-16.81
BCOHO20,Koeye,Eelgrass,12.76,-17.39
BCOHO21,Koeye,Eelgrass,11.93,-16.38
BCHIN9195,Fraser,Non-eelgrass,10.47,-19.53
BCHIN4187,Fraser,Non-eelgrass,12.63,-18.29
BCHIN4990,Fraser,Non-eelgrass,12.05,-18.81
BCHIN4991,Fraser,Non-eelgrass,11.71,-19.94
BCHIN4993,Fraser,Non-eelgrass,9.71,-22.74
BCHIN1529,Fraser,Non-eelgrass,11.72,-18.28
BCHIN1528_1,Fraser,Non-eelgrass,12.96,-16.2
BCHIN4995,Fraser,Non-eelgrass,12.44,-17.32
BCHIN1477,Fraser,Eelgrass,13.17,-14.48
BCHIN9585,Fraser,Eelgrass,9.12,-20.01
BCHIN19343,Fraser,Eelgrass,11.93,-18.05
BCHIN2099,Fraser,Eelgrass,8.11,-23.57
BCHIN5977,Fraser,Eelgrass,12.98,-16.05
BCHIN5978,Fraser,Eelgrass,9.72,-20.36
BCHIN11406,Fraser,Eelgrass,11.77,-27.92
BCHIN1091,Fraser,Eelgrass,9.03,-23.63
BCHIN18656,Fraser,Eelgrass,12.67,-21.13
BCHIN22452,Fraser,Eelgrass,13.89,-17.6
BCHIN1348,Fraser,Eelgrass,12.61,-18.01
BCHUM5,Qualicum,Non-eelgrass,12.86,-18.16
BCHUM6,Qualicum,Non-eelgrass,13.78,-19.53
BCHUM7,Qualicum,Non-eelgrass,14.79,-17.6
BCOHO1,Qualicum,Non-eelgrass,12.17,-19.8
BPIN35,Qualicum,Non-eelgrass,14.62,-18.8
BPIN36,Qualicum,Non-eelgrass,14.45,-19.25336927
BPIN37,Qualicum,Non-eelgrass,14.55,-18.28955465
BPIN38,Qualicum,Non-eelgrass,13.2,-19.94
BPIN39,Qualicum,Non-eelgrass,13.5,-19.56
BPIN50,Qualicum,Non-eelgrass,13.08,-18.74
BPIN51,Qualicum,Non-eelgrass,13.63,-17.99
BPIN52,Qualicum,Non-eelgrass,13.13,-17.47
BPIN54,Qualicum,Non-eelgrass,12.3,-17.01
BCHIN1,Qualicum,Non-eelgrass,10.66,-18.90998109
BCHIN2,Qualicum,Non-eelgrass,11.9,-16.83
BPIN53,Qualicum,Non-eelgrass,12.18,-19.44
BCHUM9,Qualicum,Eelgrass,13.96,-18.67
BCHUM10,Qualicum,Eelgrass,13.21,-19.22
BCHUM11,Qualicum,Eelgrass,12.99,-18.04
BCHUM12,Qualicum,Eelgrass,13.53,-17.88
BCHUM13,Qualicum,Eelgrass,13.19,-18.25
BCHUM44,Qualicum,Eelgrass,12,-18.07
BCHUM45,Qualicum,Eelgrass,13.47,-17.4
BCHUM46,Qualicum,Eelgrass,13.38,-17.93
BCHUM47,Qualicum,Eelgrass,14.19,-17.98963473
BCHUM48,Qualicum,Eelgrass,13.01,-17.68
BCHUM57,Qualicum,Eelgrass,13.03,-16.99
BCHUM58,Qualicum,Eelgrass,12.86,-16.96
BCHUM59,Qualicum,Eelgrass,15.07,-18.77
BCHUM60,Qualicum,Eelgrass,13.46,-18.41
BCHUM61,Qualicum,Eelgrass,14.31,-18.11621601
BPIN1,Qualicum,Eelgrass,13.61,-17.80299343
BPIN2,Qualicum,Eelgrass,13.11,-17.07659618
BPIN3,Qualicum,Eelgrass,12.8,-16.88963473
BPIN4,Qualicum,Eelgrass,12.73,-16.49308923
BPIN5,Qualicum,Eelgrass,13.38,-16.01635542
BPIN11,Qualicum,Eelgrass,14.4,-18.52
BPIN12,Qualicum,Eelgrass,13.78,-18.9469546
BPIN13,Qualicum,Eelgrass,14.49,-18.57
BPIN14,Qualicum,Eelgrass,14.5,-17.99623282
BPIN15,Qualicum,Eelgrass,14.45,-18.87
BPIN18,Qualicum,Eelgrass,12.85,-15.86
BPIN19,Qualicum,Eelgrass,12.19,-16.67
BPIN20,Qualicum,Eelgrass,12.75,-17.65
BPIN21,Qualicum,Eelgrass,12.33,-16.4
